player_id,player_name,team,position,injury_status,injury_description,date_of_return,last_game_date,games_still_to_miss,games_missed_so_far
8475852,Petr Mrazek,ANA,G,IR,Lower Body,2025-12-27,2025-11-30,5,7
8478042,Viktor Arvidsson,BOS,LW,O,Lower Body,2025-12-16,2025-12-11,1,0
8480035,Henri Jokiharju,BOS,D,IR,Undisclosed,2025-12-20,2025-11-28,3,6
8480828,Michael Callahan,BOS,D,IR,Lower Body,2099-12-31,2025-12-02,-999,4
8480887,Jordan Harris,BOS,D,IR,Ankle,2099-12-31,2025-10-21,-999,24
8481219,Jonathan Aspirot,BOS,D,O,Upper Body,2025-12-16,2025-12-11,1,0
8481712,Matej Blumel,BOS,RW,IR-LT,Lower Body,2025-12-20,2025-11-26,3,7
8475722,Jason Zucker,BUF,LW,IR,Lower Body,2025-12-18,2025-12-08,1,2
8477949,Alex Tuch,BUF,RW,DTD,Illness,2025-12-14,2025-12-09,0,1
8479941,Justin Danforth,BUF,D,IR,Lower Body,2099-12-31,2025-10-15,-999,27
8480064,Josh Norris,BUF,C,DTD,Illness,2025-12-14,2025-12-08,0,2
8480891,Michael Kesselring,BUF,D,IR,Lower Body,2099-12-31,2025-11-15,-999,13
8481551,Colten Ellis,BUF,G,IR,Concussion,2025-12-20,2025-12-09,2,1
8483468,Jiri Kulich,BUF,D,IR,Ear,2099-12-31,2025-11-01,-999,19
8484428,C. Alexis Legault,CAR,D,IR,Hand,2099-12-31,2025-11-09,-999,16
8475790,Erik Gudbranson,CBJ,D,IR,Hip,2099-12-31,2025-10-25,-999,24
8479671,Mathieu Olivier,CBJ,D,IR,Upper Body,2099-12-31,2025-11-24,-999,9
8474150,Mikael Backlund,CGY,C,DTD,Undisclosed,2025-12-16,2025-12-13,0,0
8479402,Jake Bean,CGY,D,IR,Undisclosed,2025-12-16,2025-12-06,0,3
8481028,Martin Pospisil,CGY,D,IR,Undisclosed,2099-12-31,2025-04-15,-999,33
8484180,Samuel Honzek,CGY,D,IR,Upper Body,2099-12-31,2025-11-15,-999,13
8484768,Zayne Parekh,CGY,D,O,Not Injury Related,2026-01-07,2025-11-07,9,17
8470642,Shea Weber,CHI,D,IR,,2026-07-01,2021-07-07,50,32
8473422,Nick Foligno,CHI,D,IR,Hand,2099-12-31,2025-11-15,-999,14
8476316,Laurent Brossoit,CHI,G,O,Hip,2025-12-20,2024-04-28,2,32
8484144,Connor Bedard,CHI,C,O,Shoulder,2025-12-23,2025-12-12,3,1
8479439,Jacob MacDonald,COL,D,IR,Hip,2099-12-31,2024-04-11,-999,32
8481186,Logan O'Connor,COL,RW,IR-LT,Hip,2025-12-27,2025-05-03,4,32
8475794,Tyler Seguin,DAL,C,IR-LT,Knee,2025-12-27,2025-12-02,5,6
8477454,Adam Erne,DAL,D,IR,Lower Body,2099-12-31,2025-11-11,-999,16
8480878,Nils Lundkvist,DAL,D,DTD,Illness,2025-12-15,2025-12-09,0,2
8483425,Lian Bichsel,DAL,D,IR-LT,Lower Body,2026-01-27,2025-11-30,19,7
8478891,Mason Appleton,DET,C,IR,Lower Body,2025-12-16,2025-11-29,0,7
8477953,Kasperi Kapanen,EDM,RW,IR-LT,Lower Body,2025-12-23,2025-10-19,5,26
